train_CrossEntropy(label),train_acc(label),eval_CrossEntropy(label),eval_acc(label)
1.5708634317590948,0.2856975655430712,1.4424931475728562,0.3923705722070845
1.2512036905753032,0.4660580524344569,1.1656141479268711,0.4822888283378747
1.0845379525802554,0.5283239700374532,1.15485151727886,0.4940962761126249
1.0025279526406905,0.5737359550561798,1.159829851500453,0.4986376021798365
0.9398002798637647,0.5963249063670412,1.1487424243698328,0.508628519527702
0.8948835853333776,0.6261704119850188,1.1741262380910071,0.5059037238873751
0.8584034710787656,0.6383426966292135,1.1800301629342782,0.5095367847411444
0.8195086342565129,0.6592930711610487,1.2065830023910218,0.5077202543142597
0.785633974084247,0.674625468164794,1.2043981127149943,0.516802906448683
0.7656260402908039,0.6886704119850188,1.2322872573954748,0.5013623978201635
0.7398358247476571,0.6963951310861424,1.2405826299435219,0.5077202543142597
0.7242993888783544,0.7124297752808989,1.2463442591728675,0.5049954586739328
0.7148398236835494,0.7193352059925093,1.2631435755921103,0.5040871934604905
0.7018677713942438,0.723314606741573,1.2739827245284383,0.5031789282470481
0.6935703536767638,0.7248361423220974,1.2657714212731164,0.5040871934604905
